ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Audio_Files
Ende-2sgNOM-1,,Ende,2sgNOM,boŋo,boŋo,,,,,,,,06293f5a28d85ee629b6d53d9640f9d2
Ende-2sgNOM-2,,Ende,2sgNOM,boŋo,boŋo,,,,,,,,06293f5a28d85ee629b6d53d9640f9d2
Kawam-2sgNOM-1,,Kawam,2sgNOM,buŋo,buŋo,,,,,,,,8d0810d8ffa50720897e5557fc69cf96
Kawam-2sgNOM-2,,Kawam,2sgNOM,boŋɔ,boŋɔ,,,,,,,,8d0810d8ffa50720897e5557fc69cf96
Kawam-2sgNOM-3,,Kawam,2sgNOM,boŋo,boŋo,,,,,,,,08c340957cbc8882c4b4b52d3a9103ce
Kawam-2sgNOM-4,,Kawam,2sgNOM,boŋo,boŋo,,,,,,,,08c340957cbc8882c4b4b52d3a9103ce
Kawam-2sgNOM-5,,Kawam,2sgNOM,boŋɔ,boŋɔ,,,,,,,,
Taeme-2sgNOM-1,,Taeme,2sgNOM,bæ,bæ,,,,,,,,
Taeme-2sgNOM-2,,Taeme,2sgNOM,bæ,bæ,,,,,,,,
Taeme-2sgNOM-3,,Taeme,2sgNOM,bæ,bæ,,,,,,,,726a494271234a8a924605539d936c6a
Taeme-2sgNOM-4,,Taeme,2sgNOM,bæ,bæ,,,,,,,,726a494271234a8a924605539d936c6a
Em-2sgNOM-too-1,,Em,2sgNOM-too,bəŋade,bəŋade,,,,,,,,
Ende-2sgNOM-too-1,,Ende,2sgNOM-too,boŋwade,boŋwade,,,,,,,,
Agob-2sgPOSS-1,,Agob,2sgPOSS,bəne,bəne,,,,,,,,
Agob-2sgPOSS-2,,Agob,2sgPOSS,bəne,bəne,,,,,,,,
Idi-2sgPOSS-1,,Idi,2sgPOSS,bənæ,bənæ,,,,,,,,
Idi-2sgPOSS-2,,Idi,2sgPOSS,bənæ,bənæ,,,,,,,,
Kawam-2sgPOSS-1,,Kawam,2sgPOSS,bəne,bəne,,,,,,,,
Kawam-2sgPOSS-2,,Kawam,2sgPOSS,bəne,bəne,,,,,,,,
Taeme-2sgPOSS-1,,Taeme,2sgPOSS,bənæ,bənæ,,,,,,,,
Taeme-2sgPOSS-2,,Taeme,2sgPOSS,bənæ,bənæ,,,,,,,,
Kawam-36-1,,Kawam,36,porta,porta,,,,,,,,ee57f4ea3f024b7c521a292cccb6ab5e
Kawam-36-2,,Kawam,36,porta,porta,,,,,,,,ee57f4ea3f024b7c521a292cccb6ab5e
Agob-3nsgACC-1,,Agob,3nsgACC,obam,obam,,,,,,,,
Agob-3nsgACC-2,,Agob,3nsgACC,obam,obam,,,,,,,,
Kawam-3nsgACC-1,,Kawam,3nsgACC,ubim,ubim,,,,,,,,
Kawam-3nsgACC-2,,Kawam,3nsgACC,ubim,ubim,,,,,,,,
Taeme-3nsgACC-1,,Taeme,3nsgACC,ubim,ubim,,,,,,,,
Taeme-3nsgACC-2,,Taeme,3nsgACC,ubim,ubim,,,,,,,,
Agob-3nsgDAT-1,,Agob,3nsgDAT,obra,obra,,,,,,,,
Agob-3nsgDAT-2,,Agob,3nsgDAT,obɽa,obɽa,,,,,,,,
Kawam-3nsgDAT-1,,Kawam,3nsgDAT,ubira,ubira,,,,,,,,
Kawam-3nsgDAT-2,,Kawam,3nsgDAT,ubɪrɐ,ubɪrɐ,,,,,,,,
Taeme-3nsgDAT-1,,Taeme,3nsgDAT,ubʎi,ubʎi,,,,,,,,
Taeme-3nsgDAT-2,,Taeme,3nsgDAT,ubʎi,ubʎi,,,,,,,,
Agob-3nsgNOM-1,,Agob,3nsgNOM,ubi,ubi,,,,,,,,2890672b759dd825e9e384aa70b0cafb
Agob-3nsgNOM-2,,Agob,3nsgNOM,ubi,ubi,,,,,,,,2890672b759dd825e9e384aa70b0cafb
Em-3nsgNOM-1,,Em,3nsgNOM,ubi,ubi,,,,,,,,1e59764f87fd55a5a10aee3226c751db
Em-3nsgNOM-2,,Em,3nsgNOM,ubi,ubi,,,,,,,,1e59764f87fd55a5a10aee3226c751db
Ende-3nsgNOM-1,,Ende,3nsgNOM,ubi,ubi,,,,,,,,4d4c25be27709ec027473c408f2a3ccd
Ende-3nsgNOM-2,,Ende,3nsgNOM,ubi,ubi,,,,,,,,4d4c25be27709ec027473c408f2a3ccd
Kawam-3nsgNOM-1,,Kawam,3nsgNOM,ubi,ubi,,,,,,,,5e9ca4d4e57d3df1c3cdb277de83f20b
Kawam-3nsgNOM-2,,Kawam,3nsgNOM,ubi,ubi,,,,,,,,5e9ca4d4e57d3df1c3cdb277de83f20b
Kawam-3nsgNOM-3,,Kawam,3nsgNOM,ubi,ubi,,,,,,,,20adfc5888903c1dc05b78617a5a60a3
Kawam-3nsgNOM-4,,Kawam,3nsgNOM,ubi,ubi,,,,,,,,20adfc5888903c1dc05b78617a5a60a3
Kawam-3nsgNOM-5,,Kawam,3nsgNOM,obi,obi,,,,,,,,
Taeme-3nsgNOM-1,,Taeme,3nsgNOM,wɪbi,wɪbi,,,,,,,,9fc068ab5992483b683decf3217a6be3
Taeme-3nsgNOM-2,,Taeme,3nsgNOM,wɘbi,wɘbi,,,,,,,,9fc068ab5992483b683decf3217a6be3
Taeme-3nsgNOM-3,,Taeme,3nsgNOM,wɪbi,wɪbi,,,,,,,,318ec18895e46ba88e1a14bd614e1fb6
Taeme-3nsgNOM-4,,Taeme,3nsgNOM,bo,bo,,,,,,,,cd2612791b3667d74029568c8a125f5e
Taeme-3nsgNOM-5,,Taeme,3nsgNOM,ubi,ubi,,,,,,,,318ec18895e46ba88e1a14bd614e1fb6
Taeme-3nsgNOM-6,,Taeme,3nsgNOM,bo,bo,,,,,,,,cd2612791b3667d74029568c8a125f5e
Em-3nsgNOM-too-1,,Em,3nsgNOM-too,ubide,ubide,,,,,,,,
Ende-3nsgNOM-too-1,,Ende,3nsgNOM-too,ubiade,ubiade,,,,,,,,
Ende-3nsgNOM-two-1,,Ende,3nsgNOM-two,ubi komɽa,ubi komɽa,,,,,,,,
Agob-3nsgPOSS-1,,Agob,3nsgPOSS,oba,oba,,,,,,,,
Agob-3nsgPOSS-2,,Agob,3nsgPOSS,obɐ,obɐ,,,,,,,,
Kawam-3nsgPOSS-1,,Kawam,3nsgPOSS,oba,oba,,,,,,,,
Kawam-3nsgPOSS-2,,Kawam,3nsgPOSS,oba,oba,,,,,,,,
Taeme-3nsgPOSS-1,,Taeme,3nsgPOSS,wəba,wəba,,,,,,,,
Taeme-3nsgPOSS-2,,Taeme,3nsgPOSS,oba,oba,,,,,,,,
Agob-3sgACC-1,,Agob,3sgACC,obom,obom,,,,,,,,
Agob-3sgACC-2,,Agob,3sgACC,obom,obom,,,,,,,,
Kawam-3sgACC-1,,Kawam,3sgACC,obom,obom,,,,,,,,
Kawam-3sgACC-2,,Kawam,3sgACC,obom,obom,,,,,,,,
Taeme-3sgACC-1,,Taeme,3sgACC,obom,obom,,,,,,,,
Taeme-3sgACC-2,,Taeme,3sgACC,obom,obom,,,,,,,,
Agob-3sgDAT-1,,Agob,3sgDAT,obɽe,obɽe,,,,,,,,
Agob-3sgDAT-2,,Agob,3sgDAT,obɽe,obɽe,,,,,,,,
Kawam-3sgDAT-1,,Kawam,3sgDAT,obre,obre,,,,,,,,
Kawam-3sgDAT-2,,Kawam,3sgDAT,obre,obre,,,,,,,,
Taeme-3sgDAT-1,,Taeme,3sgDAT,obʎe,obʎe,,,,,,,,
Taeme-3sgDAT-2,,Taeme,3sgDAT,oble,oble,,,,,,,,
Agob-3sgNOM-1,,Agob,3sgNOM,bo,bo,,,,,,,,4c95739030aeaf731b0dd06508d7e00a
Agob-3sgNOM-2,,Agob,3sgNOM,bo,bo,,,,,,,,4c95739030aeaf731b0dd06508d7e00a
Em-3sgNOM-1,,Em,3sgNOM,boɡo,boɡo,,,,,,,,a272efa2f098626946f44bf7612c1f8c
Em-3sgNOM-2,,Em,3sgNOM,boɡo,boɡo,,,,,,,,a272efa2f098626946f44bf7612c1f8c
Ende-3sgNOM-1,,Ende,3sgNOM,boɡo,boɡo,,,,,,,,09475748bf358c5c7ba44048ffe01c9d
Ende-3sgNOM-2,,Ende,3sgNOM,boɡo,boɡo,,,,,,,,09475748bf358c5c7ba44048ffe01c9d
Kawam-3sgNOM-1,,Kawam,3sgNOM,bo,bo,,,,,,,,6749087d64adaad643002062beb32f49
Kawam-3sgNOM-2,,Kawam,3sgNOM,bo,bo,,,,,,,,6749087d64adaad643002062beb32f49
Kawam-3sgNOM-3,,Kawam,3sgNOM,bo,bo,,,,,,,,8c75781d954c9e8a9448ae085ef5f702
Kawam-3sgNOM-4,,Kawam,3sgNOM,bo,bo,,,,,,,,
